dish,net,Estimated GI
Soybean milk, 250 g,30.0
Kiwi fruit, 80 g,40.0
Cucumber salad," 50 g
",50.0
Steamed bean curd roll," 52 g
",30.0
Fungus with vegetable," 100 g
",20.0
Vegetable ball, 220 g,20.0
Sweet potato, 67 g,80.0
Coarse grain," 96 g
",50.0
"Celery, dried bean, carrot, and shredded pork"," 140 g
",21.67
Sweet and sour lotus root, 100 g,50.0
Millet porridge," 100 g
",50.0
Peanuts with vinegar, 40 g,50.0
Kiwi fruit, 107 g,40.0
"Celery, dried bean and carrot"," 100 g
",32.5
"Sweet and sour lotus root, shredded radish"," 100 g
",50.0
Mutton and vegetable," 150 g
",20.0
Vegetable ball, 100 g,20.0
Sweet potato, 70 g,80.0
Shredded radish," 50 g
",50.0
"Broccoli, dried bean curd and shredded carrot"," 100 g
",32.5
Black rice cake," 60 g
",70.0
Stir fried vegetable," 130 g
",20.0
"Broccoli, dried bean, carrot and shredded pork"," 100 g
",21.67
Vegetable ball, 150 g,20.0
Hairtail," 55 g
",50.0
"Cabbage, carrot, and vermicelli"," 50 g
",22.5
Black rice cake," 94 g
",70.0
Millet porridge, 120 g,50.0
Cabbage and vermicelli, 100 g,10.0
Shredded radish and coriander," 50 g
",50.0
"Celery, shredded carrot and bamboo shoots"," 100 g
",35.0
Potato and beef, 60 g,80.0
Coarse grain steamed bread," 56 g
",62.5
"Onion, pepper and beef"," 100 g
",7.5
"Shredded radish, dried bean curd and shredded pork"," 100 g
",15.0
Fried shrimp," 50 g
",50.0
Pork stuffed tofu skin," 72 g
",7.5
Fungus and vegetable," 70 g
",20.0
Coarse grain steamed bread," 57 g
",62.5
Buckwheat noodles, 250 g,55.0
Tofu, 100 g,15.0
Stir fried vegetable," 100 g
",20.0
Mutton," 50 g
",50.0
Rice, 70 g,70.0
Coarse grain steamed bread," 70 g
",62.5
Egg," 52 g
",0.0
Buckwheat noodles, 250 ml,55.0
Dumpling stuffed with Shepherd's purse and pork, 270 g,0.0
Coarse grain steamed bread," 60 g
",62.5
Kelp," 150 g
",50.0
"Wonton stuffed with Shepherd's purse, mushroom and pork"," 150 g
",25.0
Banana," 100 g
",60.0
Nut," 30 g
",50.0
Yogurt, 200 g,50.0
Soybean," 20 g
",30.0
Chickpea," 20 g
",50.0
Peanuts," 20 g
",50.0
Walnuts," 20 g
",15.0
Coix seed," 20 g
",50.0
Soybean milk," 400 g
",30.0
Bacon and asparagus, 50 g,50.0
Tomato, 250 g,50.0
Steamed bean curd roll," 100 g
",30.0
Celery, 100 g,50.0
Tomato, 100 g,50.0
Asparagus," 50 g
",50.0
Quail egg," 50 g
",0.0
Banana," 50 g
",60.0
Millet mung bean porridge, 400 g,30.0
Whole wheat bread," 15 g
",75.0
Beef and ham," 15 g
",0.0
"Spinach, king oyster mushroom, pine nut"," 50 g
",15.0
Milk and egg, 300 g,0.0
Pea seedling," 100 g
",50.0
Cooked pea, 150 g,50.0
Steamed bun stuffed with carrot," 100 g
",35.0
Boiled egg in tea," 50 g
",0.0
Milk and egg," 300 g
",0.0
Lettuce salad, 50 g,10.0
Sweet potato and purple sweet potato, 150 g,80.0
Corn," 300 g
",50.0
Soybean milk," 150 g
",30.0
Milk cereal," 180 g
",50.0
Steamed bean curd roll," 50 g
",30.0
Quail egg, 50 g,0.0
Beef bun," 100 g
",0.0
Stinky tofu, 80 g,15.0
Millet mung bean porridge," 200 g
",30.0
Pumpkin chicken," 150 g
",0.0
Bean sprout," 50 g
",30.0
Razor clam, 100 g,50.0
Boiled chicken and pumpkin pie," 250 g
",0.0
Tomato, 150 g,50.0
Chicken breast," 50 g
",0.0
King oyster mushroom and asparagus," 100 g
",15.0
Corn, 100 g,50.0
Steamed meatfilled bun, 105 g,50.0
Chocolate, 5 g,50.0
Steamed vegetable bun, 105 g,20.0
Fungus," 100 g
",50.0
Oil tofu," 100 g
",15.0
Noodles, 60 g,55.0
Pork," 15 g
",0.0
Scallops," 60 g
",50.0
Steamed vegetable bun," 50 g
",20.0
Lotus nut, 100 g,50.0
Noodles," 60 g
",55.0
Sea cucumber, 40 g,50.0
"
Abalone", 40 g,50.0
Noodles," 75 g
",55.0
"Mung bean sprouts, egg dumpling, pork, Pleurotus Eryngii and shredded dry bean curd", 150 g,10.0
Steamed vegetable bun," 100 g
",20.0
Wonton," 400 g
",60.0
Milk," 100 g
",50.0
Pumpkin, 100 g,50.0
Pigeon," 10 g
",50.0
Beef," 15 g
",0.0
Seaweed, 50 g,50.0
Steamed vegetable bun," 150 g
",20.0
Pumpkin, 150 g,50.0
Pigeon," 50 g
",50.0
Pleurotus Eryngii, 15 g,50.0
Pigeon meat," 50 g
",50.0
Fungus, 100 g,50.0
Wontonwonton," 400 g
",60.0
Wax gourd, 50 g,50.0
Pigeon meat," 10 g
",50.0
Abalones," 40 g
",50.0
Wax gourd," 40 g
",50.0
Tomato," 50 g
",50.0
Cucumber, 150 g,50.0
Chocolate, 3 g,50.0
Lotus nut," 200 g
",50.0
Red date," 20 g
",50.0
Noodles," 20 g
",55.0
Wax gourd soup," 150 ml
",50.0
Abalone," 15 g
",50.0
Crayfish," 25 g
",0.0
Mung bean sprouts," 10 g
",30.0
Maran beans mixed with dried spices," 30 g
",30.0
Abalone," 10 g
",50.0
Wax gourd soup, 150 ml,50.0
Asparagus," 250 g
",50.0
Sticky rice cake," 50 g
",70.0
Fried clam with egg, 250 g,0.0
Wonton," 40 g
",60.0
Steamed vegetable bun," 35 g
",20.0
Lotus nut," 100 g
",50.0
Red date," 10 g
",50.0
Skimmed milk, 100ml,50.0
Sliced beef," 40 g
",0.0
Shrimp," 60 g
",50.0
Sliced wax gourd," 50 g
",50.0
Yogurt," 100 ml
",50.0
Laver and wax gourd soup," 150 ml
",50.0
Sliced beef, 15 g,0.0
Pumpkin," 50 g
",50.0
Beef,"  50 g
",0.0
"Laver, wax gourd and shrimp soup"," 150 ml
",50.0
Yellow croaker," 150 g
",50.0
Biscuit, 150 g,50.0
"Wax gourd, radish, dried bamboo shoot and dried tofu"," 10 g
",15.0
Mushroom," 15 g
",15.0
Steamed bean curd roll, 5 g,30.0
Fungus," 50 g
",50.0
Tomato," 25 g
",50.0
Needle mushroom, 20 g,15.0
Crawfish," 15 g
",0.0
Pork," 80 g
",0.0
Fried clam, 100 g,50.0
Clam," 100 g
",50.0
Bamboo shoots, 5 g,50.0
Green tea, 200 ml,50.0
Crawfish," 210 g
",0.0
Steamed bean curd roll, 15 g,30.0
Wax gourd and scallops," 100 g
",50.0
Laver soup," 100 ml
",50.0
Eggplant," 40 g
",0.0
Mung bean sprouts, 10 g,30.0
Laver and vegetable soup," 100 ml
",20.0
Fungus and needle mushroom," 100 g
",15.0
Steamed bean curd roll, 10 g,30.0
Wax gourd and abalone," 100 g
",50.0
Vegetable soup," 100ml
",20.0
Steamed bean curd roll," 10 g
",30.0
Mushroom," 30 g
",15.0
Abalone," 20 g
",50.0
Yogurt, 100 ml,50.0
Vegetable and pigeon soup," 150 ml
",20.0
Wax gourd," 50 g
",50.0
Abalone, 15 g,50.0
Bread," 60g
",75.0
Tomato, 50g,50.0
Vegetable, 100g,20.0
Rice in soup," 100 g
",70.0
Pickle, 30 g,50.0
Pork," 50 g
",0.0
Bitter gourd and carrot," 100 g
",35.0
Yellow rice wine," 50 ml
",70.0
Buckwheat bread, 80 g,75.0
 Whole wheat bread, 40 g,75.0
Bitter gourd and carrot," 50 g
",35.0
Fish," 60 g
",0.0
Cabbage, 50 g,10.0
Vegetable,"100g
",20.0
Asparagus," 100 g
",50.0
Yellow rice wine, 50 ml,70.0
Whole wheat bread, 40 g,75.0
 Buckwheat steamed bun," 80 g
",75.0
 Bread, 40 g,75.0
Meatball, 40 g,50.0
Meatball," 40 g
",50.0
Yellow rice wine, 250 ml,70.0
 Buckwheat bread," 80 g
",75.0
Asparagus, 50 g,50.0
Herring," 60 g
",50.0
Bread, 40 g,75.0
Crown daisy, 500 g,50.0
Milk," 220 ml
",50.0
Black sesame and walnut cereal paste, 300 ml,50.0
 Buckwheat pancake with egg, 70 g,0.0
 Fried bean sprouts with leek," 100 g
",30.0
Shredded pork with garlic," 100 g
",0.0
Tomato soup, 120 g,50.0
 Milk," 220 ml
",50.0
Coarse grain pancake," 120 g
",50.0
Tomato and wax gourd soup, 100 g,50.0
Steamed vegetable bun," 120 g
",20.0
Radish, 50 g,50.0
Steamed vegetable bun,"  50 g
",20.0
Black sesame and walnut paste, 300 ml,50.0
Celery," 70 g
",50.0
 Mushroom soup," 100 g
",15.0
Pancake, 120 g,50.0
Crucian carp and radish soup," 130 g
",0.0
Cabbage, 100 g,10.0
Black sesame and walnut cereal paste," 300 ml
",50.0
Rye bread, 50 g,75.0
Wonton, 280 g,60.0
Shredded carrot," 50 g
",35.0
Pumpkin, 120 g,50.0
Shrimps," 20 g
",50.0
Shredded carrot, 60 g,35.0
Black sesame and  walnut cereal paste," 300 ml
",50.0
Noodles and spinach soup 1 bowl, 200 g,55.0
Mutton," 30 g
",50.0
Goose feet," 20 g
",50.0
Fish," 45 g
",0.0
Dumpling, 45 g,50.0
 Mutton noodle soup, 150 g,55.0
 Beef," 100 g
",0.0
Spring roll," 30 g
",50.0
Towel gourd," 50 g
",50.0
Orange 1, 60 g,45.0
 Steamed bread," 30 g
",75.0
Shredded lettuce," 50 g
",10.0
Yam, 30 g,50.0
 Noodles, 100 g,55.0
Garlic," 50 g
",50.0
Chicken feet, 100 g,0.0
 Dumpling, 180 g,50.0
Fried rice with egg, 100 g,35.0
Egg soup, 120 g,0.0
Crab," 150 g
",0.0
"
Wax gourd soup", 100 g,50.0
Beef with green pepper," 100 g
",7.5
 Milk, 150 ml,50.0
Dendrobium candidum, 25 ml,50.0
Pastry," 130 g
",50.0
Cucumber, 50 g,50.0
Braised pork in brown sauce,"  50 g
",25.0
Shredded beef," 50 g
",0.0
Dendrobium candidum," 25 ml
",50.0
Peanut, 50 g,50.0
Apple, 250 g,40.0
Mung bean sprouts," 400 g
",30.0
Fungus," 150 g
",50.0
Three yellow chicken," 150 g
",0.0
Duck gizzards," 8g
",0.0
Wonton," 125 g
",60.0
Cucumber," 300 g
",50.0
Braised pork in brown sauce,"  30 g
",25.0
Bamboo shoots, 50 g,50.0
Cucumber," 150 g
",50.0
Black fungus," 100 g
",50.0
Braised pork in brown sauce,"  20 g
",25.0
Biscuit, 50g,50.0
Bread," 100 ml
",75.0
Tomato and sliced fish," 100 g
",0.0
Pork, 30 g,0.0
Tomato and sliced fish," 50 g
",0.0
Braised pork in brown sauce,  20 g,25.0
Steamed bread," 80 g
",75.0
Milk," 300 ml
",50.0
Rice,"  50 g
",70.0
Crown daisy, 90 g,50.0
"
Kelp"," 10g
",50.0
Carrot," 50g
",35.0
Shrimp skin," 100 g
",50.0
Mushroom, 100 g,15.0
"
Crab cream", 90 g,0.0
Rice, 50g,70.0
"
Cucumber"," 50 g
",50.0
Carrot," 40g
",35.0
Mushroom,"  10 g
",15.0
Shrimp skin, 100 g,50.0
Fermented milk," 135 g
",50.0
Scallion pancake, 90 g,10.0
Eggplant," 90 g
",0.0
Hairtail, 150 g,50.0
Wonton," 60 g
",60.0
Soymilk," 500 ml
",50.0
Red date," 25 g
",50.0
Walnuts and sesame," 15 g
",15.0
Loquat, 15 g,50.0
Cucumber," 90 g
",50.0
Fried hairtail," 180 g
",50.0
Soybean and dried radish, 40 g,30.0
Walnut and sesame," 15 g
",50.0
Loquat," 15 g
",50.0
 Steamed bread," 60 g
",75.0
Leeks and smoked bean curd," 110 g
",30.0
Towel gourd fried egg," 80 g
",0.0
Oil gluten," 50 g
",50.0
Carrot," 40 g
",35.0
Steamed bread," 50 g
",75.0
Stir fried vegetable with scallion oil," 60 g
",15.0
Baby Chinese cabbage," 200 g
",10.0
Soybean and dried radish, 50 g,30.0
Celery," 100 g
",50.0
Dried shrimp skin and cabbage, 100 g,10.0
Dried shrimp skin and cabbage," 100 g
",10.0
Apple, 75 g,40.0
 Yogurt," 135 g
",50.0
Sweet potato," 75 g
",80.0
Lettuce," 150 g
",10.0
Soybean," 30 g
",30.0
Soybean and dried radish," 40 g
",30.0
Lettuce, 150 g,10.0
Chinese wolfberry," 15 g
",25.0
Sweet potato, 30 g,80.0
Potato and tomato," 80 g
",80.0
"Green pepper, smoked bean curd and carrot"," 80 g
",32.5
Mushroom," 100 g
",15.0
"Green pepper, carrot and  mushroom"," 150 g
",25.0
Coffee and milk," 300 ml
",50.0
Steamed bun, 80 g,50.0
Steak," 75 g
",50.0
Scrambled egg with bitter gourd,"  70 g
",0.0
Wax gourd and green soybean," 90 g
",30.0
Wax gourd and green soybean," 100 g
",30.0
Scrambled egg with bitter gourd, 50 g,0.0
Fermented bean curd," 40 g
",30.0
"Coix seed, red bean and lotus nut", 300 g,30.0
Cucumber," 125 g
",50.0
Green pepper," 5 g
",15.0
Mushroom," 10 g
",15.0
Smoked bean curd," 20 g
",30.0
Water bamboo," 20 g
",50.0
Carrot," 30 g
",35.0
Green soybean, 50 g,30.0
Green pepper," 8 g
",15.0
Smoked bean curd 2," 2g
",30.0
Green soybean," 100 g
",30.0
Potato and tomato," 50 g
",80.0
Yogurt," 135 g
",50.0
Sweet potato, 95 g,80.0
Poached egg," 70 g
",0.0
Cucumber," 40 g
",50.0
Water bamboo and other vegetables, 100 g,20.0
Cold noodles," 100 g
",55.0
Milk," 300 g
",50.0
Corn, 80 g,50.0
Rice dumpling, 250 g,70.0
Shrimp meatball soup, 50 g,50.0
Fungus," 200 g
",50.0
Milk," 200 g
",50.0
Corn, 50 g,50.0
Shrimp meatball," 30 g
",50.0
Hairtail," 20 g
",50.0
Wax gourd, 30 g,50.0
 Duck soup," 50 g
",0.0
Dumpling, 80 g,50.0
Stuffed sticky rice ball, 75 g,70.0
Stuffed sticky rice ball, 70 g,70.0
Dumpling, 100 g,50.0
Buckwheat bread, 50 g,75.0
Hairtail, 30 g,50.0
Hairtail," 50 g
",50.0
Cake," 110 g
",50.0
Shredded pork and onion," 100g
",0.0
Yellow bean sprout and oil gluten," 100g
",30.0
Sea cucumber, 30g,50.0
Chicken," 55g
",0.0
Cucumber," 60g
",50.0
Soybean sprouts," 50g
",30.0
Mushroom," 50g
",15.0
Nutritional powder, 200 ml,50.0
Beef," 75g
",0.0
Radish," 50g
",50.0
Apple," 75g
",40.0
Celery and dried tofu," 100g
",15.0
Shredded pork with tofu and duck blood," 150g
",7.5
Wonton," 160 g
",60.0
Sliced boiled chicken," 100g
",0.0
Shredded potato," 60 g
",80.0
Tofu," 80g
",15.0
Egg, 100 g,0.0
Chicken," 40 g
",0.0
Wax gourd," 50g
",50.0
Crab," 100 g
",0.0
Spinach, 100 g,50.0
Coarse grain in soup," 100 g
",50.0
Wonton, 160 g,60.0
Pig bone soup, 150g,50.0
Coarse grain pancake," 100g
",50.0
Egg, 50g,0.0
Shredded eel," 50 g
",50.0
Pork rib," 25 g
",0.0
Vegetable and egg soup, 100 ml,0.0
Raisin," 50 g
",50.0
Grapefruit," 20 g
",25.0
Kiwi, 50 g,50.0
Black rice," 166.10 g
",70.0
Red rice," 86.2 g
",70.0
Duck," 28 g
",0.0
Pork," 25 g
",0.0
Pig bone and wax gourd soup, 236 g,50.0
Cake with pork floss and salted egg, 29.7 g,0.0
Red bean rice dumpling,  253 g,50.0
Black rice," 130 g
",70.0
Vegetable," 45 g
",20.0
Radish and chicken soup," 236 g
",0.0
Braised tofu," 40 g
",15.0
Chicken," 41 g
",0.0
Braised pork in brown sauce,  28 g,25.0
Sugar," 9.5 g
",50.0
Latte, 200ml,50.0
 with, 6.5 g,50.0
Meat rice dumpling," 126 g
",70.0
Rice," 130 g
",70.0
Hairtail fish," 34 g
",0.0
Pickled vegetable and green soybean," 43 g
",30.0
Duck," 25 g
",0.0
Radish and chicken soup, 265 g,0.0
Sandwich," 100 g
",50.0
Steamed egg, 203 g,0.0
Rice," 219 g
",70.0
Boiled shrimp," 25.5 g
",50.0
Dried celery," 37.2 g
",50.0
Pork rib," 88.8 g
",0.0
Water spinach," 42.5 g
",50.0
Green soybean and pickles," 35 g
",30.0
Soup, 254.4 g,50.0
Crab and rice cake," 150 g
",70.0
Pork rib," 48 g
",0.0
Rice cake," 150 g
",70.0
Water spinach," 40 g
",50.0
Shrimp," 15 g
",50.0
Dried celery," 35 g
",50.0
Soup, 150 g,50.0
 with, 7 g,50.0
" sugar
Colored bean rice dumpling", 300 g,50.0
"
Egg", 60 g,0.0
Litchi, 55.2 g,50.0
Black rice," 160 g
",70.0
Pickle and green soybean," 50 g
",30.0
Fish and tofu soup,260 g,15.0
Noodles," 80 g
",55.0
Rice dumpling," 150 g
",70.0
Latte," 9 g
",50.0
Salted bread, 70 g,75.0
Rice," 185 g
",70.0
Tomato and egg soup," 200 g
",0.0
Braised eggplant," 50 g
",0.0
Braised meat," 25 g
",50.0
Vegetable salad," 90 g
",20.0
Orchid bean, 30 g,30.0
Litchi, 45 g,50.0
Rice," 170 g
",70.0
Braised eggplant," 40 g
",0.0
Braised pork in brown sauce," 25 g
",25.0
Vegetable salad, 74 g,20.0
 Corn," 100 g
",50.0
Corn soup, 350 g,50.0
Rice," 160 g
",70.0
Fish," 90 g
",0.0
Taro," 130 g
",50.0
Vegetable salad," 35 g
",20.0
Scrambled egg with cucumber,  25 g,0.0
 with, 9 g,50.0
Cereal," 24 g
",50.0
Rice dumpling, 180 g,70.0
Rice cake," 910 g
",70.0
Snacks," 50 g
",50.0
Watermelon," 150 g
",50.0
 Vegtable," 381 g
",50.0
Soup, 371 g,50.0
Cereal," 27 g
",50.0
 Noodles, 850 g,55.0
Shredded potato," 100 g
",80.0
Taro, 90 g,50.0
Cookie, 53 g,50.0
Corn juice, 113 g,50.0
Taros," 50 g
",50.0
Tofu skin rolls with minced pork," 50 g
",7.5
Yam," 239 g
",50.0
Rice, 109 g,70.0
Fish," 63 g
",0.0
Amaranth," 10 g
",50.0
Scrambled egg with tomato,"  20 g
",0.0
Rice," 101 g
",70.0
Soup, 35 g,50.0
Cereal," 22 g
",50.0
Steamed bun, 48 g,50.0
Vegetable," 48 g
",20.0
Lotus root," 43 g
",50.0
Shrimp," 41 g
",50.0
Soup," 162 g
",50.0
Cucumber," 63 g
",50.0
Duck," 54 g
",0.0
Shrimp," 23 g
",50.0
Rice, 102 g,70.0
Steamed bun, 43 g,50.0
Green soybean," 88 g
",30.0
Towel gourd," 61 g
",50.0
Fish, 53 g,0.0
Fish," 22 g
",0.0
Lotus root," 24 g
",50.0
Cereal," 21 g
",50.0
Noodles, 47 g,55.0
Shredded pork with celery," 43 g
",0.0
Fried shrimp with cucumber," 60 g
",50.0
Cereal," 102 g
",50.0
Milk cake, 53 g,50.0
Cold noodles," 231 g
",55.0
Fruit," 75 g
",40.0
Cucumber, 70 g,50.0
Bitter gourd," 53 g
",50.0
Orchid," 81 g
",50.0
Duck wing," 48 g
",0.0
Tomato and bean soup, 142 g,30.0
Cereal," 10 g
",50.0
Milk and bread, 60 g,75.0
 Wonton," 675 g
",60.0
Watermelon, 250 g,50.0
Vegetable," 62 g
",20.0
Steamed gluten," 65 g
",50.0
Meat," 35 g
",50.0
Wax gourd soup, 210 g,50.0
Cereal," 50g
",50.0
Steamed bread, 100g,75.0
Noodles," 200 g
",55.0
Tomato," 70 g
",50.0
Cucumber, 80 g,50.0
Potato and beef," 100 g
",80.0
Steamed gluten," 69 g
",50.0
Wax gourd soup," 230 g
",50.0
Cereal," 54 g
",50.0
Milk," 100 ml
",50.0
Bread, 80 g,75.0
Pork rib," 100 g
",0.0
Pear," 70 g
",50.0
Seasame paste," 33 g
",50.0
Crab, 15 g,0.0
Milk," 103ml
",50.0
Corn, 50g,50.0
Cowpea," 41 g
",50.0
Cucumber," 49 g
",50.0
Hairtail fish," 60g
",0.0
Wax gourd soup, 306 g,50.0
Peach, 60g,50.0
Steamed bun," 95g
",50.0
Watermelon," 250g
",50.0
Cucumber, 80g,50.0
Shredded pork with Chinese cabbage," 23 g
",5.0
Sea cucumber," 40 g
",50.0
Small pork rib and yam soup," 253 g
",0.0
Sea cucumber," 35 g
",50.0
Chinese cabbage," 65 g
",10.0
Shrimp," 44 g
",50.0
Soup, 230 g,50.0
Wonton," 200 g
",60.0
Cucumber," 80g
",50.0
Eggplant," 50g
",0.0
Pork," 100g
",0.0
Steamed egg," 100g
",0.0
Braised pork in brown sauce,"  50g
",25.0
Noodles," 150 g
",55.0
Black fish fillet," 150 g
",0.0
Chicken feet, 40 g,0.0
Instant noodles, 250 g,55.0
Cucumber," 100g
",50.0
Chicken soup, 100ml,0.0
Hairtail," 50g
",50.0
Broccoli, 100g,50.0
Wonton," 140 g
",60.0
Eel," 150 g
",50.0
Celery," 150 g
",50.0
Steamed perch," 100g
",50.0
Fried egg with green pepper," 80g
",0.0
Vermicelli with cabbage, 100g,10.0
Shepherd's purse and fish fillet," 150g
",0.0
Pork rib, 150 g,0.0
Wonton, 120 g,60.0
Fried shredded pork with water bamboo and green soybean," 100g
",15.0
Braised pig feet, 250g,50.0
 Steamed vegetable bun," 100 g
",20.0
Roast duck," 200 g
",0.0
Fried sliced mutton with scallion," 150 g
",10.0
Mapo tofu, 150 g,15.0
 Noodles," 120 g
",55.0
Sliced boiled chicken," 200 g
",0.0
Chinese cabbage," 150 g
",10.0
Steamed bean curd roll, 20g,30.0
Duck egg," 50 g
",0.0
Dumpling, 120 g,50.0
Scrambled egg with cucumber," 120 g
",0.0
Pork, 100 g,0.0
Pork rib and wax gourd soup," 100ml
",0.0
Braised small yellow croaker," 150g
",50.0
Pork rib Noodles," 100 g
",27.5
Instant spicy steampot, 150 g,50.0
Hairtail," 100g
",50.0
Scrambled egg with towel gourd," 100g
",0.0
Fried pork with cowpea," 150g
",0.0
Mapo tofu," 80g
",15.0
Hotpot," 350 g
",50.0
Mutton," 200 g
",50.0
Beer, 500 g,50.0
Pomfret," 100 g
",0.0
Fried sliced pork and cowpea,"  140g
",0.0
Wax gourd soup, 100ml,50.0
Braised potatoes with beef," 100g
",80.0
Dried tofu with celery," 100g
",15.0
Steamed eggs with minced pork," 100 g
",0.0
Water spinach, 100 g,50.0
Rice and water, 100 g,70.0
Pork," 100 g
",0.0
Hairtail," 80 g
",50.0
Pork rib, 75 g,0.0
Cauliflower," 80 g
",15.0
Water bamboo," 100 g
",50.0
Leek, 100 g,50.0
Fish head with sheet jelly," 100g
",0.0
Pigeon and cauliflower soup, 100 g,15.0
Chinese pancake," 100 g
",50.0
Shrimp," 100g
",50.0
Fish," 100g
",0.0
Corn," 50g
",50.0
Pork rib and radish soup," 100 g
",0.0
Chinese pancake, 100 g,50.0
Cake," 100g
",50.0
Yogurt, 200 ml,50.0
Hairtail," 80g
",50.0
Steak," 75g
",50.0
Bitter gourd," 30g
",50.0
Rice, 200 g,70.0
Steamed bun, 200 g,50.0
Rice in soup," 100g
",70.0
Cake," 100 g
",50.0
Boiled duck," 70g
",0.0
Cucumber,"100g
",50.0
Boiled duck," 80g
",0.0
Duck," 80g
",0.0
Chinese cabbage," 100g
",10.0
Small pork rib soup," 100ml
",0.0
Yogurt," 200 ml
",50.0
Steamed bun, 50 g,50.0
Noodles and small pork rib soup, 200 g,27.5
Wax gourd and small pork rib soup, 100 ml,0.0
Corn," 150 g
",50.0
Duck soup," 100ml
",0.0
Bitter gourd, 30 g,50.0
Duck," 80 g
",0.0
Tomato soup," 100 ml
",50.0
Wonton and Pan-fried dumplings, 200 g,60.0
Milk," 150 ml
",50.0
Tofu skin rolls with minced pork,"75 g
",7.5
Vegetable," 85 g
",20.0
Oats, 40 g,50.0
Braised pork in brown sauce,"  80 g
",25.0
Fried wax gourd with green soybean," 75 g
",30.0
Basa fillet," 57 g
",50.0
Fried fungus with cucumber," 80 g
",50.0
Wax gourd and green soybean," 75 g
",30.0
Shrimp soup, 100 g,50.0
Braised pork in brown sauce," 80 g
",25.0
Oily bean curd with chinese cabbage," 65 g
",20.0
Tofu with minced pork," 60 g
",7.5
Red date porridge," 100 g
",50.0
Pumpkin porridge," 100 g
",50.0
Tomato," 250 g
",50.0
Apple," 250 g
",40.0
Braised radish," 60 g
",50.0
Green pepper and shredded bean curd blade," 55 g
",30.0
Steamed eggs with meat," 50 g
",0.0
Scrambled eggs with fungus," 40 g
",0.0
Steamed bun," 25 g
",50.0
Steamed eggs with minced meat," 50 g
",0.0
Fried pork with Chinese cabbage," 50 g
",5.0
Vegetable," 40 g
",20.0
Oily bean curd," 10 g
",30.0
Fried vegetable," 50 g
",20.0
Tofu soup, 20 g,15.0
Braised pork," 30 g
",0.0
Oiled tofu, 20 g,15.0
Cauliflower," 65 g
",15.0
Braised pork," 81 g
",0.0
Tomato fried with Chinese cabbage, 50 g,10.0
Red date bean paste stuffed bun," 100 g
",30.0
Braised big pork meatball,  60 g,0.0
"
Dried bean"," 40 g
",30.0
Cereal, 50 g,50.0
Scrambled shrimp with egg," 70 g
",0.0
Braised radish," 65 g
",50.0
Shredded bean curd blade," 80 g
",30.0
Vegetable," 65 g
",20.0
Steamed bean bun," 25 g
",30.0
Steamed pork bun, 25 g,0.0
Corn," 50 g
",50.0
Apple," 50 g
",40.0
Soup, 100 g,50.0
Mung bean soup," 100 g
",30.0
Egg," 25 g
",0.0
Soybean milk, 100 ml,30.0
Steamed egg with salted pork," 70 g
",0.0
Braised shredded pork and cabbage," 65 g
",5.0
Oat, 40 g,50.0
Braised meat with quail egg," 85 g
",0.0
Yam and fungus," 64 g
",50.0
Chinese cabbage and oiled tofu," 55 g
",12.5
Steamed bean curd roll," 60 g
",30.0
Cereal," 60 g
",50.0
Braised pork chop in brown sauce," 60 g
",25.0
Fried fungus with cucumber, 50 g,50.0
Shepherd's purse and tofu," 53 g
",15.0
Braised pork in brown sauce,"  75 g
",25.0
Hangzhou cabbage," 60 g
",10.0
Fish fillet," 70 g
",0.0
Chili sauce," 55 g
",50.0
Hangzhou cabbage and oil tofu," 50 g
",12.5
Cereal, 40 g,50.0
Rice, 65 g,70.0
Pumpkin," 65 g
",50.0
Fired chicken with potato," 75 g
",80.0
Shredded bean curd blade," 56 g
",30.0
Steamed egg with salted pork," 65 g
",0.0
Yam with fungus," 55 g
",50.0
Green vegetable," 55 g
",20.0
Mung bean and lily soup," 100 g
",30.0
Green soybean," 50 g
",30.0
 Pigeon soup," 150 g
",50.0
Staple food, 50 g,50.0
Snack, 50 g,50.0
Steamed bun, 20 g,50.0
Fried mushroom with vegetable," 50 g
",15.0
Tofu knot, 2 g,15.0
Oil tofu," 20 g
",15.0
Tofu skin rolls with minced pork," 65 g
",7.5
Chinese cabbage," 60 g
",10.0
Braised pork in brown sauce  with quail egg," 75 g
",16.67
Scrambled egg with green pepper," 65 g
",0.0
Basa fillet," 55 g
",50.0
Fried slick pork with cucumber,"  65 g
",0.0
Sweet and sour spare ribs," 70 g
",50.0
Wax gourd," 65 g
",50.0
Shredded pork with water bamboo," 65 g
",0.0
Curry potato," 75 g
",80.0
Homemade tofu," 60 g
",15.0
Chinese cabbage," 55 g
",10.0
Scrambled egg with shrimp," 64 g
",0.0
Cabbage and vermicelli," 55 g
",10.0
Chili sauce," 60 g
",50.0
Yam," 67 g
",50.0
Vegetable," 70 g
",20.0
